iter	Passed	Remaining
0	95	95782
1	102	51080
2	107	35794
3	114	28531
4	120	23959
5	127	21073
6	133	18890
7	139	17337
8	145	16055
9	152	15094
10	157	14195
11	164	13503
12	169	12875
13	175	12388
14	181	11909
15	186	11495
16	193	11165
17	198	10826
18	205	10586
19	210	10312
20	215	10068
21	220	9822
22	225	9591
23	231	9405
24	236	9213
25	241	9055
26	246	8886
27	251	8723
28	256	8601
29	261	8462
30	267	8359
31	272	8233
32	276	8115
33	282	8037
34	288	7941
35	293	7871
36	299	7788
37	304	7706
38	310	7655
39	315	7583
40	321	7526
41	326	7457
42	332	7408
43	338	7346
44	343	7284
45	349	7238
46	353	7177
47	360	7140
48	365	7099
49	372	7071
50	377	7022
51	383	6998
52	389	6959
53	394	6917
54	402	6908
55	407	6870
56	414	6857
57	419	6819
58	426	6808
59	433	6787
60	440	6782
61	446	6749
62	452	6727
63	458	6701
64	464	6677
65	469	6647
66	475	6621
67	481	6600
68	486	6566
69	492	6547
70	499	6529
71	505	6516
72	510	6485
73	516	6464
74	522	6441
75	527	6418
76	533	6396
77	538	6367
78	544	6349
79	549	6324
80	555	6305
81	560	6279
82	565	6249
83	571	6227
84	576	6206
85	581	6183
86	586	6156
87	591	6128
88	596	6108
89	601	6082
90	606	6058
91	612	6041
92	616	6016
93	622	5999
94	627	5976
95	632	5953
96	637	5932
97	642	5909
98	647	5891
99	652	5870
100	657	5849
101	662	5831
102	667	5811
103	672	5792
104	677	5774
105	682	5753
106	687	5737
107	692	5717
108	696	5695
109	702	5682
110	707	5663
111	712	5650
112	717	5634
113	722	5615
114	727	5601
115	732	5583
116	737	5566
117	742	5550
118	747	5531
119	753	5524
120	758	5507
121	762	5490
122	768	5476
123	773	5463
124	779	5453
125	783	5437
126	788	5420
127	794	5414
128	799	5398
129	806	5394
130	811	5382
131	816	5370
132	822	5361
133	827	5345
134	833	5338
135	838	5326
136	844	5316
137	849	5307
138	854	5292
139	859	5281
140	864	5266
141	869	5253
142	875	5245
143	879	5230
144	886	5225
145	891	5212
146	896	5202
147	901	5191
148	906	5177
149	912	5169
150	917	5158
151	922	5148
152	928	5137
153	933	5125
154	938	5115
155	943	5102
156	948	5093
157	953	5080
158	957	5066
159	963	5056
160	967	5043
161	973	5035
162	978	5026
163	984	5019
164	990	5013
165	995	5001
166	1000	4990
167	1005	4978
168	1010	4967
169	1015	4957
170	1020	4945
171	1024	4932
172	1030	4926
173	1035	4914
174	1040	4903
175	1045	4893
176	1049	4881
177	1055	4873
178	1060	4863
179	1065	4851
180	1070	4842
181	1075	4831
182	1080	4823
183	1085	4812
184	1089	4801
185	1095	4792
186	1100	4782
187	1105	4773
188	1110	4763
189	1114	4752
190	1120	4744
191	1124	4734
192	1129	4723
193	1135	4715
194	1140	4708
195	1145	4700
196	1151	4694
197	1157	4688
198	1162	4679
199	1168	4673
200	1174	4669
201	1180	4662
202	1185	4654
203	1190	4644
204	1196	4640
205	1201	4632
206	1206	4622
207	1212	4617
208	1217	4607
209	1222	4597
210	1227	4591
211	1233	4585
212	1240	4582
213	1244	4572
214	1249	4563
215	1255	4555
216	1259	4545
217	1265	4539
218	1270	4530
219	1275	4521
220	1280	4513
221	1285	4504
222	1290	4496
223	1295	4486
224	1299	4477
225	1305	4470
226	1310	4461
227	1315	4452
228	1320	4444
229	1324	4435
230	1330	4428
231	1335	4419
232	1339	4410
233	1345	4405
234	1350	4396
235	1355	4388
236	1360	4379
237	1365	4370
238	1370	4363
239	1375	4356
240	1380	4349
241	1385	4340
242	1390	4330
243	1395	4323
244	1400	4314
245	1404	4306
246	1410	4299
247	1414	4290
248	1419	4282
249	1424	4273
250	1429	4265
251	1434	4258
252	1439	4250
253	1444	4241
254	1449	4234
255	1454	4226
256	1459	4219
257	1465	4213
258	1469	4205
259	1475	4198
260	1479	4190
261	1484	4182
262	1489	4174
263	1494	4166
264	1499	4159
265	1504	4151
266	1510	4146
267	1515	4139
268	1520	4133
269	1526	4127
270	1531	4121
271	1537	4113
272	1542	4108
273	1547	4100
274	1553	4095
275	1559	4089
276	1564	4082
277	1570	4078
278	1575	4070
279	1581	4066
280	1586	4059
281	1591	4053
282	1596	4044
283	1601	4036
284	1606	4030
285	1612	4024
286	1617	4018
287	1622	4010
288	1627	4002
289	1632	3997
290	1637	3989
291	1642	3982
292	1647	3975
293	1652	3967
294	1657	3960
295	1662	3952
296	1666	3944
297	1672	3939
298	1677	3932
299	1682	3925
300	1687	3918
301	1692	3911
302	1697	3904
303	1702	3897
304	1706	3889
305	1711	3882
306	1716	3875
307	1721	3868
308	1726	3861
309	1731	3853
310	1736	3847
311	1741	3839
312	1745	3831
313	1751	3825
314	1755	3818
315	1760	3811
316	1765	3804
317	1770	3797
318	1776	3791
319	1781	3784
320	1785	3777
321	1790	3770
322	1795	3763
323	1800	3757
324	1805	3749
325	1809	3741
326	1815	3735
327	1820	3728
328	1824	3721
329	1830	3716
330	1834	3708
331	1840	3702
332	1845	3695
333	1849	3688
334	1855	3682
335	1859	3675
336	1864	3668
337	1869	3661
338	1874	3654
339	1879	3647
340	1884	3642
341	1889	3634
342	1894	3629
343	1899	3622
344	1904	3614
345	1909	3609
346	1914	3602
347	1919	3595
348	1923	3588
349	1928	3581
350	1933	3575
351	1938	3568
352	1942	3561
353	1948	3555
354	1953	3548
355	1958	3542
356	1963	3535
357	1968	3529
358	1973	3524
359	1979	3518
360	1984	3512
361	1988	3505
362	1993	3498
363	1998	3492
364	2003	3485
365	2008	3478
366	2013	3472
367	2017	3465
368	2022	3458
369	2028	3453
370	2033	3447
371	2038	3441
372	2043	3434
373	2047	3427
374	2053	3421
375	2057	3415
376	2062	3408
377	2067	3402
378	2072	3395
379	2077	3390
380	2083	3384
381	2087	3377
382	2092	3371
383	2097	3364
384	2102	3358
385	2107	3351
386	2111	3345
387	2116	3339
388	2121	3332
389	2126	3325
390	2131	3319
391	2136	3313
392	2141	3307
393	2146	3301
394	2150	3294
395	2156	3288
396	2160	3281
397	2165	3274
398	2170	3269
399	2175	3263
400	2180	3256
401	2185	3251
402	2190	3244
403	2195	3239
404	2201	3233
405	2205	3227
406	2211	3222
407	2217	3217
408	2222	3212
409	2228	3206
410	2233	3201
411	2238	3195
412	2244	3189
413	2249	3184
414	2255	3178
415	2260	3173
416	2265	3167
417	2271	3162
418	2277	3157
419	2282	3152
420	2288	3147
421	2295	3143
422	2301	3139
423	2306	3133
424	2312	3129
425	2318	3124
426	2324	3118
427	2330	3113
428	2335	3108
429	2340	3102
430	2345	3096
431	2350	3090
432	2356	3085
433	2361	3079
434	2366	3074
435	2372	3068
436	2377	3063
437	2383	3058
438	2388	3052
439	2394	3048
440	2399	3041
441	2406	3037
442	2412	3033
443	2418	3028
444	2424	3023
445	2429	3017
446	2435	3012
447	2440	3006
448	2445	3001
449	2450	2995
450	2455	2988
451	2460	2983
452	2465	2976
453	2470	2970
454	2475	2964
455	2480	2958
456	2486	2954
457	2491	2948
458	2498	2944
459	2504	2939
460	2509	2934
461	2515	2929
462	2520	2923
463	2526	2918
464	2531	2913
465	2538	2908
466	2543	2902
467	2548	2897
468	2554	2892
469	2559	2886
470	2565	2881
471	2571	2876
472	2577	2871
473	2582	2865
474	2587	2859
475	2593	2854
476	2597	2848
477	2603	2843
478	2608	2836
479	2612	2830
480	2617	2824
481	2622	2818
482	2627	2812
483	2632	2806
484	2637	2800
485	2642	2794
486	2647	2788
487	2652	2782
488	2657	2776
489	2662	2770
490	2667	2765
491	2672	2759
492	2676	2752
493	2681	2747
494	2686	2740
495	2691	2734
496	2696	2729
497	2701	2722
498	2706	2717
499	2711	2711
500	2716	2705
501	2721	2699
502	2726	2693
503	2730	2687
504	2735	2681
505	2740	2675
506	2745	2669
507	2751	2664
508	2756	2658
509	2762	2654
510	2768	2648
511	2774	2644
512	2779	2638
513	2785	2633
514	2790	2628
515	2796	2622
516	2802	2618
517	2808	2613
518	2814	2608
519	2819	2602
520	2824	2597
521	2830	2591
522	2834	2585
523	2840	2580
524	2845	2574
525	2851	2569
526	2856	2563
527	2860	2557
528	2866	2552
529	2870	2545
530	2875	2540
531	2880	2534
532	2885	2528
533	2890	2522
534	2895	2516
535	2900	2510
536	2905	2505
537	2910	2499
538	2916	2494
539	2921	2488
540	2926	2482
541	2932	2477
542	2937	2472
543	2943	2467
544	2948	2461
545	2953	2455
546	2959	2450
547	2963	2444
548	2968	2439
549	2973	2433
550	2978	2426
551	2983	2421
552	2988	2415
553	2992	2409
554	2997	2403
555	3002	2397
556	3007	2392
557	3012	2386
558	3017	2380
559	3022	2374
560	3027	2368
561	3031	2362
562	3037	2357
563	3041	2351
564	3046	2345
565	3051	2339
566	3056	2333
567	3061	2328
568	3066	2322
569	3070	2316
570	3076	2311
571	3080	2305
572	3085	2299
573	3090	2293
574	3095	2287
575	3100	2282
576	3105	2276
577	3109	2270
578	3115	2265
579	3120	2259
580	3124	2253
581	3129	2247
582	3134	2242
583	3139	2236
584	3144	2230
585	3149	2224
586	3154	2219
587	3158	2213
588	3163	2207
589	3168	2202
590	3173	2196
591	3179	2191
592	3184	2185
593	3188	2179
594	3194	2174
595	3200	2169
596	3206	2164
597	3211	2158
598	3216	2153
599	3222	2148
600	3226	2142
601	3232	2137
602	3237	2131
603	3241	2125
604	3247	2120
605	3251	2114
606	3257	2108
607	3262	2103
608	3267	2097
609	3273	2092
610	3277	2086
611	3282	2081
612	3287	2075
613	3292	2069
614	3297	2064
615	3302	2058
616	3306	2052
617	3312	2047
618	3316	2041
619	3321	2035
620	3326	2030
621	3331	2024
622	3336	2019
623	3341	2013
624	3346	2007
625	3351	2002
626	3355	1996
627	3360	1990
628	3365	1985
629	3370	1979
630	3375	1973
631	3379	1968
632	3384	1962
633	3389	1956
634	3394	1951
635	3399	1945
636	3404	1940
637	3409	1934
638	3414	1928
639	3419	1923
640	3424	1917
641	3430	1913
642	3435	1907
643	3441	1902
644	3446	1896
645	3451	1891
646	3457	1886
647	3462	1880
648	3468	1875
649	3473	1870
650	3479	1865
651	3485	1860
652	3490	1854
653	3496	1849
654	3501	1844
655	3507	1839
656	3512	1833
657	3518	1828
658	3524	1823
659	3530	1818
660	3536	1813
661	3541	1808
662	3547	1803
663	3552	1797
664	3558	1792
665	3563	1787
666	3569	1782
667	3575	1777
668	3580	1771
669	3587	1766
670	3592	1761
671	3598	1756
672	3603	1750
673	3608	1745
674	3614	1740
